"year" "top1perc" "top1perc_nok" "topmtr" "topmtr_k" "incadult_nok" "incadulttop1_nok" "incadultbot99_nok" "incadulttop1_n" "incadultbot99_n"
"52" 1964 0.104791037738323 0.0802075117826462 0.769999980926514 0.25 22.2322046085487 178.318981309437 20.6555705004589 137.667384336123 257.46206767909
"53" 1965 0.108919128775597 0.0806506499648094 0.699999988079071 0.25 23.1992446351576 187.103415851808 21.5436469461005 150.435648365976 269.429804295105
"54" 1966 0.101752571761608 0.0836818441748619 0.699999988079071 0.25 24.2717204134531 203.11023254944 22.4652707959179 146.367537180331 282.863730476298
"55" 1967 0.107375420629978 0.0842533186078072 0.699999988079071 0.25 24.9020092529003 209.807691955917 23.034275084183 160.299509971867 291.727969739453
"56" 1968 0.112128384411335 0.0835194140672684 0.752499997615814 0.25 25.544130612067 213.343082157761 23.6471715055449 173.557825721472 300.857415113731
"57" 1969 0.103514969348907 0.0801742225885391 0.769999980926514 0.25 25.8141176443124 206.962681394184 23.9843341720915 159.429806495774 302.26740311021
"58" 1970 0.0902528613805771 0.0780384615063667 0.717499971389771 0.294999986886978 25.8887622898374 202.031917940295 24.1095384953883 136.580096134339 301.390142768258
"59" 1971 0.0939905643463135 0.0778608173131943 0.699999988079071 0.324999988079071 25.8133110973331 200.984549959811 24.0439046441768 143.203195867377 302.192085055963
"60" 1972 0.0963770821690559 0.0775412693619728 0.699999988079071 0.349999994039536 26.9201709664302 208.742422817832 25.0835825638908 154.205675228311 316.516046232445
"61" 1973 0.0916246250271797 0.0774199590086937 0.699999988079071 0.349999994039536 27.5447475080872 213.251322298093 25.6689235203093 149.259164927341 323.948565551043
"62" 1974 0.0912242904305458 0.0812361910939217 0.699999988079071 0.349999994039536 26.7980220584653 217.696924088062 24.8697503207927 143.100379810449 312.082139314569
"63" 1975 0.0887267291545868 0.0800587981939316 0.699999988079071 0.349999994039536 25.4576271233818 203.810703236718 23.6560809000148 132.139854827052 297.104956401164
